e,r,t
1,-837.0078946607533,1.4402215480804443
2,-400.64181630546443,0.7570335865020752
3,-859.738115227624,0.8547186851501465
4,-409.2025895187817,0.8127543926239014
5,-1444.268714856038,0.9113783836364746
6,-440.5504689461521,0.5685214996337891
7,-414.5036122564444,0.7067444324493408
8,-601.719713180838,0.7514903545379639
9,-445.83202305189974,0.754819393157959
10,-247.66307695464667,0.841465950012207
11,-643.7806108787746,1.558351993560791
12,-436.141738068807,1.4546220302581787
13,-732.2937888442576,1.5823781490325928
14,-1046.8461617242501,1.5013062953948975
15,-831.5559178285265,1.2688007354736328
16,-807.3786154980997,1.523634910583496
17,-903.3072671620546,1.5886085033416748
18,-1035.198439396226,1.3970441818237305
19,-723.0468982312616,1.4395129680633545
20,-506.2160198369839,1.4786715507507324
21,-756.733639905941,1.3680469989776611
22,-896.8887383920792,1.6644277572631836
23,-783.5843914927984,1.420008897781372
24,-871.5447502724879,1.4251596927642822
25,-2554.0961570275435,1.5798134803771973
26,-932.1505381512378,1.4937968254089355
27,-549.0036139070249,1.509758710861206
28,-2948.1159342525402,1.5006139278411865
29,-1332.758007197987,1.466564416885376
30,-1339.8642519113012,1.4506034851074219
31,-823.9009385575889,1.4029872417449951
32,-462.2383890537981,1.4370272159576416
33,-1346.7684964084215,1.572237491607666
34,-1157.8697462393334,1.5992863178253174
35,-1538.066513026596,1.55641770362854
36,-1483.759209007734,1.4852166175842285
37,-1382.1736420042873,1.5206396579742432
38,-924.9629398120694,1.5700006484985352
39,-1800.828979311409,1.6292915344238281
40,-854.8226973674304,1.5381155014038086
41,-1147.123779189744,1.6000750064849854
42,-881.3464901235934,1.5004398822784424
43,-1199.5761855940339,1.5150043964385986
44,-785.9644692126146,1.5677244663238525
45,-1719.219317147093,1.5283198356628418
46,-1921.4849866733018,1.5595767498016357
47,-481.3934693418337,1.365757703781128
48,-1216.8292720127126,1.536588430404663
49,-1451.236749724722,1.4924848079681396
50,-535.6848003914866,1.3844926357269287
51,-1005.857685633028,1.4248077869415283
52,-1468.080998872689,1.523902177810669
53,-1082.3211275560202,1.4639651775360107
54,-908.2318652558803,1.4455618858337402
55,-833.0736844293857,1.400921106338501
56,-1991.0824133745677,1.5017027854919434
57,-954.1968057672713,1.4657962322235107
58,-1625.6647674888168,1.5862979888916016
59,-1392.9604853802743,1.5979697704315186
60,-1406.2019524532252,1.6961290836334229
61,-1011.0237228352047,1.4724369049072266
62,-1194.923297418027,1.3276588916778564
63,-576.4376927946327,1.2921967506408691
64,-1217.9971375303046,1.4054148197174072
65,-1425.5932680090643,1.4927878379821777
66,-1672.146051120954,1.5590808391571045
67,-1417.4316780809397,1.3430578708648682
68,-732.5480795108867,1.4562525749206543
69,-1656.452814602852,1.4630918502807617
70,-1621.71318966386,1.5109367370605469
71,-1045.5466114658186,1.3272740840911865
72,-1779.141917879586,1.4036576747894287
73,-584.0920840960962,1.356198787689209
74,-1044.2636563626388,1.302643060684204
75,-2060.816349092768,1.4460530281066895
76,-717.5099016029327,1.3452062606811523
77,-1333.5771811026423,1.3277714252471924
78,-1081.1020355652402,1.3111801147460938
79,-1486.8406204628059,1.439361333847046
80,-1657.0713100540247,1.550180435180664
81,-977.0772041523583,1.3470962047576904
82,-1780.4687735855346,1.4833433628082275
83,-1233.6199640240927,1.4767918586730957
84,-561.3781722288908,1.4972586631774902
85,-562.0432259017301,1.261455774307251
86,-1841.9504740117836,1.4343578815460205
87,-1119.244370705518,1.3821499347686768
88,-1520.2054060616285,1.4617276191711426
89,-1376.0561040275948,1.3758363723754883
90,-1059.6107316820178,1.4356753826141357
91,-447.5081144743083,1.3932716846466064
92,-607.482563788444,1.4218289852142334
93,-1110.7061963442643,1.4142560958862305
94,-1164.446494226068,1.4179584980010986
95,-1574.0545308199878,1.4828543663024902
96,-431.38879033751556,1.3548953533172607
97,-1109.2893208595456,1.4826407432556152
98,-939.2661584376237,1.347583293914795
99,-316.30012711040183,1.3379228115081787
100,-1007.6306642538109,1.5663692951202393
101,-1053.6848734633247,1.354078769683838
102,-786.8084786625908,1.4838531017303467
103,-1153.0615315172136,1.4739515781402588
104,-690.3647856846299,1.3556571006774902
105,-720.1557654430384,1.372992992401123
106,-1531.594017005199,1.464956283569336
107,-738.1556399542949,1.3965044021606445
108,-676.0822251075954,1.3404481410980225
109,-1569.3330242181773,1.408663034439087
110,-536.9850949933088,1.2380199432373047
111,-930.9524396842452,1.4759738445281982
112,-1219.915879404613,1.4152517318725586
113,-988.556667645151,1.4506876468658447
114,-1324.6524075543825,1.5907011032104492
115,-1192.2581901298365,1.549588680267334
116,-1450.8494731937762,1.454359531402588
117,-1934.9924391387112,1.5119576454162598
118,-371.7728289056831,1.3636207580566406
119,-1394.3965541115617,1.4161124229431152
120,-837.4811111605295,1.3573427200317383
121,-1093.8506412930726,1.4561145305633545
122,-1832.1679105249193,1.3459453582763672
123,-1520.3727099475082,1.481421709060669
124,-690.1546922123844,1.3690693378448486
125,-1649.2412334047506,1.4348678588867188
126,-822.3859320200755,1.4253747463226318
127,-538.1549950495234,1.4761085510253906
128,-556.075667234487,1.4294142723083496
129,-670.1681106531416,1.5560240745544434
130,-852.5763281254608,1.4788877964019775
131,-680.9147634907472,1.299837589263916
132,-877.7112989195666,1.5995547771453857
133,-518.0796224602914,1.3189194202423096
134,-293.4322605917736,1.3893475532531738
135,-1943.98138003644,1.5005905628204346
136,-1265.1554407970734,1.375777244567871
137,-1182.9952158844628,1.4397871494293213
138,-843.6061121207523,1.4331908226013184
139,-545.9686424217426,1.2227234840393066
140,-752.5583280510834,1.6416585445404053
141,-456.7747924955143,1.499253273010254
142,-2034.5758627176915,1.5747783184051514
143,-565.7126520240163,1.4187581539154053
144,-515.0833644958406,1.5288193225860596
145,-1377.9491087000229,1.6317007541656494
146,-1647.3336430324014,1.6292643547058105
147,-370.65173864678985,1.4397013187408447
148,-1171.0363652348078,1.5472745895385742
149,-672.1378623009421,1.4740853309631348
150,-970.521810484554,1.461869716644287
151,-1837.3477757804994,1.5364971160888672
152,-732.2846105068454,1.3965506553649902
153,-896.1397226907212,1.4254143238067627
154,-440.80640873912694,1.4373550415039062
155,-588.4406626730569,1.4079806804656982
156,-263.53942178091273,1.2949364185333252
157,-269.8848794262303,1.1275634765625
158,-484.5784035538578,1.2976303100585938
159,-737.6465118210873,1.406815767288208
160,-236.4749029455067,1.5205376148223877
161,-747.1313184441584,1.472486972808838
162,-1142.018221215301,1.4828376770019531
163,-2353.1376210809335,1.5346148014068604
164,-1363.204881305077,1.5126490592956543
165,-620.3873915244571,1.216686487197876
166,-810.1238561196694,1.3078453540802002
167,-1482.1298904347043,1.3663876056671143
168,-257.69712462429817,1.3130419254302979
169,-1455.4318895272133,1.488720417022705
170,-1168.4985023667812,1.4088270664215088
171,-665.4078586507763,1.369300127029419
172,-1446.4912739747176,1.3404209613800049
173,-1212.4322644752024,1.482487440109253
174,-672.605973767509,1.4536058902740479
175,-1038.497637380712,1.5755555629730225
176,-961.39833130593,1.776932716369629
177,-642.3828674380684,1.5227348804473877
178,-1155.4357387628331,1.6547532081604004
179,-447.7828205209827,1.4218132495880127
180,-1507.411004748576,1.5624768733978271
181,-1442.1463645746041,1.3967323303222656
182,-1005.457284524168,1.436995267868042
183,-2666.3177746094207,1.46067214012146
184,-980.8863026541211,1.4008588790893555
185,-1115.173930877799,1.6062088012695312
186,-1037.379792555655,1.2924704551696777
187,-1802.1603519044122,1.4540941715240479
188,-1666.3946663151735,1.5149829387664795
189,-756.6833366480535,1.4353935718536377
190,-1983.0117980111204,1.63189697265625
191,-849.6204516493544,1.4615588188171387
192,-594.888468372898,1.4656643867492676
193,-1159.3387533624784,1.4997506141662598
194,-870.6450311223913,1.4709978103637695
195,-566.9993169097494,1.5201542377471924
196,-1792.3898069123663,1.4912042617797852
197,-936.4808387563996,1.4535703659057617
198,-1701.8204549051313,1.6747503280639648
199,-1614.4927855265794,1.416213035583496
200,-744.5485876133931,1.5970027446746826
201,-1600.8084411211464,1.467383861541748
202,-1678.40846358966,1.3749308586120605
203,-777.1239159591635,1.354058027267456
204,-1128.554961702211,1.3544318675994873
205,-666.5223909794908,1.3708827495574951
206,-517.5674377388087,1.329787015914917
207,-715.7061850657486,1.4604926109313965
208,-1127.0682031847064,1.4938890933990479
209,-1176.28274198577,1.5458693504333496
210,-1027.6238068343823,1.4634246826171875
211,-2112.268857580531,1.5977134704589844
212,-1598.0057634724728,1.3380727767944336
213,-1222.4880475903658,1.4705183506011963
214,-882.5733578583347,1.5382442474365234
215,-486.8272470413367,1.4284677505493164
216,-1615.497530145238,1.5781440734863281
217,-802.9660850286168,1.4180374145507812
218,-1229.3986747788304,1.6426470279693604
219,-691.1714914039638,1.7168467044830322
220,-883.1745135133291,1.8067452907562256
221,-1259.764689247092,1.4915153980255127
222,-1301.3742636170705,1.4656949043273926
223,-869.5668832719352,1.6187348365783691
224,-811.4041010903975,1.4199225902557373
225,-524.2070301758064,1.5471525192260742
226,-1120.424205686013,1.5355594158172607
227,-622.6355764088029,1.3336124420166016
228,-1796.134595617672,1.5799663066864014
229,-638.6433253419123,1.324354887008667
230,-722.678046550013,1.2928252220153809
231,-1037.6181317012208,1.423095941543579
232,-860.7306362553552,1.2869222164154053
233,-1174.1396969229027,1.4793908596038818
234,-912.1417148536867,1.4815526008605957
235,-590.1410107562757,1.4440898895263672
236,-1279.327446089611,1.5295310020446777
237,-859.9511341894623,1.4792227745056152
238,-464.65887608894286,1.4272608757019043
239,-648.4624062422525,1.480083703994751
240,-608.0958762686716,1.3094899654388428
241,-1566.2839010561997,1.4746787548065186
