,Time,JobType,Event,Job,Machine,Queue,Memo
0,1.12,1.0,Created,Job 1-0,,,
1,1.12,1.0,Put in Routing Class,Job 1-0,,1.0,
2,1.12,1.0,Routing Start,Job 1-0,,,"3.675,  machine 선택"
3,1.12,1.0,Routing Finish,Job 1-0,Machine 2,,
4,1.12,1.0,Work Start,Job 1-0,Machine 2,,
5,1.23,8.0,Created,Job 8-1,,,
6,1.23,8.0,Put in Routing Class,Job 8-1,,1.0,
7,1.23,8.0,Routing Start,Job 8-1,,,"3.675,  machine 선택"
8,1.23,8.0,Routing Finish,Job 8-1,Machine 6,,
9,1.23,8.0,Work Start,Job 8-1,Machine 6,,
10,1.31,6.0,Created,Job 6-4,,,
11,1.31,6.0,Put in Routing Class,Job 6-4,,1.0,
12,1.31,6.0,Routing Start,Job 6-4,,,"3.675,  machine 선택"
13,1.31,6.0,Routing Finish,Job 6-4,Machine 5,,
14,1.31,6.0,Work Start,Job 6-4,Machine 5,,
15,1.32,2.0,Created,Job 2-12,,,
16,1.32,2.0,Put in Routing Class,Job 2-12,,1.0,
17,1.32,2.0,Routing Start,Job 2-12,,,"3.675,  machine 선택"
18,1.32,2.0,Routing Finish,Job 2-12,Machine 4,,
19,1.32,2.0,Work Start,Job 2-12,Machine 4,,
20,1.39,4.0,Created,Job 4-22,,,
21,1.39,4.0,Put in Routing Class,Job 4-22,,1.0,
22,1.39,4.0,Routing Start,Job 4-22,,,"3.675,  machine 선택"
23,1.39,4.0,Routing Finish,Job 4-22,Machine 7,,
24,1.39,4.0,Work Start,Job 4-22,Machine 7,,
25,1.88,9.0,Created,Job 9-3,,,
26,1.88,9.0,Put in Routing Class,Job 9-3,,1.0,
27,1.88,9.0,Routing Start,Job 9-3,,,"3.675,  machine 선택"
28,1.88,9.0,Routing Finish,Job 9-3,Machine 1,,
29,1.88,9.0,Work Start,Job 9-3,Machine 1,,
30,2.58,1.0,Created,Job 1-11,,,
31,2.58,1.0,Put in Routing Class,Job 1-11,,1.0,
32,2.58,1.0,Routing Start,Job 1-11,,,"3.675,  machine 선택"
33,2.58,1.0,Routing Finish,Job 1-11,Machine 0,,
34,2.58,1.0,Work Start,Job 1-11,Machine 0,,
35,2.69,6.0,Created,Job 6-10,,,
36,2.69,6.0,Put in Routing Class,Job 6-10,,1.0,
37,2.69,6.0,Routing Start,Job 6-10,,,"3.675,  machine 선택"
38,2.69,6.0,Routing Finish,Job 6-10,Machine 3,,
39,2.69,6.0,Work Start,Job 6-10,Machine 3,,
40,2.8,4.0,Created,Job 4-35,,,
41,2.8,4.0,Put in Routing Class,Job 4-35,,1.0,
42,2.9,0.0,Created,Job 0-2,,,
43,2.9,0.0,Put in Routing Class,Job 0-2,,2.0,
44,3.22,9.0,Created,Job 9-5,,,
45,3.22,9.0,Put in Routing Class,Job 9-5,,3.0,
46,3.68,4.0,Work Finish,Job 4-22,Machine 7,,
47,3.68,4.0,Completed,Job 4-22,,,0
48,3.68,,Request Routing for Job,,Machine 7,3.0,
49,3.68,,Routing Start,,Machine 7,,3.675 Job 선택
50,3.68,9.0,Routing Finish,Job 9-5,Machine 7,,
51,3.68,9.0,Work Start,Job 9-5,Machine 7,,
52,3.8,8.0,Created,Job 8-15,,,
53,3.8,8.0,Put in Routing Class,Job 8-15,,3.0,
54,3.91,0.0,Created,Job 0-6,,,
55,3.91,0.0,Put in Routing Class,Job 0-6,,4.0,
56,3.95,5.0,Created,Job 5-7,,,
57,3.95,5.0,Put in Routing Class,Job 5-7,,5.0,
58,4.3,4.0,Created,Job 4-37,,,
59,4.3,4.0,Put in Routing Class,Job 4-37,,6.0,
60,4.41,1.0,Created,Job 1-29,,,
61,4.41,1.0,Put in Routing Class,Job 1-29,,7.0,
62,4.44,2.0,Created,Job 2-21,,,
63,4.44,2.0,Put in Routing Class,Job 2-21,,8.0,
64,4.57,6.0,Created,Job 6-18,,,
65,4.57,6.0,Put in Routing Class,Job 6-18,,9.0,
66,4.77,6.0,Work Finish,Job 6-4,Machine 5,,
67,4.77,6.0,Completed,Job 6-4,,,0
68,4.77,,Request Routing for Job,,Machine 5,9.0,
69,4.77,,Routing Start,,Machine 5,,3.675 Job 선택
70,4.77,0.0,Routing Finish,Job 0-2,Machine 5,,
71,4.77,0.0,Work Start,Job 0-2,Machine 5,,
72,5.05,0.0,Created,Job 0-8,,,
73,5.05,0.0,Put in Routing Class,Job 0-8,,9.0,
74,5.23,8.0,Created,Job 8-36,,,
75,5.23,8.0,Put in Routing Class,Job 8-36,,10.0,
76,5.48,1.0,Created,Job 1-38,,,
77,5.48,1.0,Put in Routing Class,Job 1-38,,11.0,
78,5.61,6.0,Created,Job 6-25,,,
79,5.61,6.0,Put in Routing Class,Job 6-25,,12.0,
80,5.62,4.0,Created,Job 4-39,,,
81,5.62,4.0,Put in Routing Class,Job 4-39,,13.0,
82,5.63,9.0,Work Finish,Job 9-3,Machine 1,,
83,5.63,9.0,Completed,Job 9-3,,,0
84,5.63,,Request Routing for Job,,Machine 1,13.0,
85,5.63,,Routing Start,,Machine 1,,3.675 Job 선택
86,5.63,6.0,Routing Finish,Job 6-18,Machine 1,,
87,5.63,6.0,Work Start,Job 6-18,Machine 1,,
88,5.77,7.0,Created,Job 7-31,,,
89,5.77,7.0,Put in Routing Class,Job 7-31,,13.0,
90,5.94,5.0,Created,Job 5-14,,,
91,5.94,5.0,Put in Routing Class,Job 5-14,,14.0,
92,6.03,3.0,Created,Job 3-9,,,
93,6.03,3.0,Put in Routing Class,Job 3-9,,15.0,
94,6.22,2.0,Created,Job 2-40,,,
95,6.22,2.0,Put in Routing Class,Job 2-40,,16.0,
96,6.26,0.0,Created,Job 0-53,,,
97,6.26,0.0,Put in Routing Class,Job 0-53,,17.0,
98,6.37,1.0,Work Finish,Job 1-0,Machine 2,,
99,6.37,1.0,Completed,Job 1-0,,,0
100,6.37,,Request Routing for Job,,Machine 2,17.0,
101,6.37,,Routing Start,,Machine 2,,3.675 Job 선택
102,6.37,4.0,Routing Finish,Job 4-35,Machine 2,,
103,6.37,4.0,Work Start,Job 4-35,Machine 2,,
104,7.25,2.0,Created,Job 2-52,,,
105,7.25,2.0,Put in Routing Class,Job 2-52,,17.0,
106,7.35,8.0,Work Finish,Job 8-1,Machine 6,,
107,7.35,8.0,Completed,Job 8-1,,,0
108,7.35,,Request Routing for Job,,Machine 6,17.0,
109,7.35,,Routing Start,,Machine 6,,3.675 Job 선택
110,7.35,3.0,Routing Finish,Job 3-9,Machine 6,,
111,7.35,3.0,Work Start,Job 3-9,Machine 6,,
112,7.49,4.0,Work Finish,Job 4-35,Machine 2,,
113,7.49,4.0,Completed,Job 4-35,,,0
114,7.49,,Request Routing for Job,,Machine 2,16.0,
115,7.49,,Routing Start,,Machine 2,,3.675 Job 선택
116,7.49,4.0,Routing Finish,Job 4-37,Machine 2,,
117,7.49,4.0,Work Start,Job 4-37,Machine 2,,
118,7.5,8.0,Created,Job 8-55,,,
119,7.5,8.0,Put in Routing Class,Job 8-55,,16.0,
120,7.51,1.0,Created,Job 1-45,,,
121,7.51,1.0,Put in Routing Class,Job 1-45,,17.0,
122,7.68,0.0,Created,Job 0-56,,,
123,7.68,0.0,Put in Routing Class,Job 0-56,,18.0,
124,8.1,4.0,Created,Job 4-47,,,
125,8.1,4.0,Put in Routing Class,Job 4-47,,19.0,
126,8.26,2.0,Work Finish,Job 2-12,Machine 4,,
127,8.26,2.0,Completed,Job 2-12,,,0
128,8.26,,Request Routing for Job,,Machine 4,19.0,
129,8.26,,Routing Start,,Machine 4,,3.675 Job 선택
130,8.26,2.0,Routing Finish,Job 2-21,Machine 4,,
131,8.26,2.0,Work Start,Job 2-21,Machine 4,,
132,8.56,2.0,Created,Job 2-58,,,
133,8.56,2.0,Put in Routing Class,Job 2-58,,19.0,
134,8.61,4.0,Work Finish,Job 4-37,Machine 2,,
135,8.61,4.0,Completed,Job 4-37,,,0
136,8.61,,Request Routing for Job,,Machine 2,19.0,
137,8.61,,Routing Start,,Machine 2,,3.675 Job 선택
138,8.61,4.0,Routing Finish,Job 4-39,Machine 2,,
139,8.61,4.0,Work Start,Job 4-39,Machine 2,,
140,8.61,8.0,Created,Job 8-70,,,
141,8.61,8.0,Put in Routing Class,Job 8-70,,19.0,
142,8.89,6.0,Work Finish,Job 6-10,Machine 3,,
143,8.89,6.0,Completed,Job 6-10,,,0
144,8.89,,Request Routing for Job,,Machine 3,19.0,
145,8.89,,Routing Start,,Machine 3,,3.675 Job 선택
146,8.89,2.0,Routing Finish,Job 2-40,Machine 3,,
147,8.89,2.0,Work Start,Job 2-40,Machine 3,,
148,9.01,0.0,Created,Job 0-61,,,
149,9.01,0.0,Put in Routing Class,Job 0-61,,19.0,
150,9.11,6.0,Work Finish,Job 6-18,Machine 1,,
151,9.11,6.0,Completed,Job 6-18,,,0
152,9.11,,Request Routing for Job,,Machine 1,19.0,
153,9.11,,Routing Start,,Machine 1,,3.675 Job 선택
154,9.11,6.0,Routing Finish,Job 6-25,Machine 1,,
155,9.11,6.0,Work Start,Job 6-25,Machine 1,,
156,9.36,9.0,Created,Job 9-23,,,
157,9.36,9.0,Put in Routing Class,Job 9-23,,19.0,
158,9.54,7.0,Created,Job 7-42,,,
159,9.54,7.0,Put in Routing Class,Job 7-42,,20.0,
160,9.7,9.0,Work Finish,Job 9-5,Machine 7,,
161,9.7,9.0,Completed,Job 9-5,,,0
162,9.7,,Request Routing for Job,,Machine 7,20.0,
163,9.7,,Routing Start,,Machine 7,,3.675 Job 선택
164,9.7,0.0,Routing Finish,Job 0-6,Machine 7,,
165,9.7,0.0,Work Start,Job 0-6,Machine 7,,
166,9.72,4.0,Work Finish,Job 4-39,Machine 2,,
167,9.72,4.0,Completed,Job 4-39,,,0
168,9.72,,Request Routing for Job,,Machine 2,19.0,
169,9.72,,Routing Start,,Machine 2,,3.675 Job 선택
170,9.72,4.0,Routing Finish,Job 4-47,Machine 2,,
171,9.72,4.0,Work Start,Job 4-47,Machine 2,,
172,9.83,1.0,Work Finish,Job 1-11,Machine 0,,
173,9.83,1.0,Completed,Job 1-11,,,0
174,9.83,,Request Routing for Job,,Machine 0,18.0,
175,9.83,,Routing Start,,Machine 0,,3.675 Job 선택
176,9.83,9.0,Routing Finish,Job 9-23,Machine 0,,
177,9.83,9.0,Work Start,Job 9-23,Machine 0,,
178,9.91,6.0,Created,Job 6-27,,,
179,9.91,6.0,Put in Routing Class,Job 6-27,,18.0,
180,10.3,4.0,Created,Job 4-49,,,
181,10.3,4.0,Put in Routing Class,Job 4-49,,19.0,
182,10.32,5.0,Created,Job 5-17,,,
183,10.32,5.0,Put in Routing Class,Job 5-17,,20.0,
184,10.72,2.0,Created,Job 2-65,,,
185,10.72,2.0,Put in Routing Class,Job 2-65,,21.0,
186,10.84,4.0,Work Finish,Job 4-47,Machine 2,,
187,10.84,4.0,Completed,Job 4-47,,,0
188,10.84,,Request Routing for Job,,Machine 2,21.0,
189,10.84,,Routing Start,,Machine 2,,3.675 Job 선택
190,10.84,4.0,Routing Finish,Job 4-49,Machine 2,,
191,10.84,4.0,Work Start,Job 4-49,Machine 2,,
192,10.88,9.0,Created,Job 9-41,,,
193,10.88,9.0,Put in Routing Class,Job 9-41,,21.0,
194,10.93,0.0,Work Finish,Job 0-2,Machine 5,,
195,10.93,0.0,Completed,Job 0-2,,,0
196,10.93,,Request Routing for Job,,Machine 5,21.0,
197,10.93,,Routing Start,,Machine 5,,3.675 Job 선택
198,10.93,7.0,Routing Finish,Job 7-31,Machine 5,,
199,10.93,7.0,Work Start,Job 7-31,Machine 5,,
200,11.0,6.0,Created,Job 6-30,,,
201,11.0,6.0,Put in Routing Class,Job 6-30,,21.0,
202,11.06,8.0,Created,Job 8-71,,,
203,11.06,8.0,Put in Routing Class,Job 8-71,,22.0,
204,11.28,0.0,Created,Job 0-83,,,
205,11.28,0.0,Put in Routing Class,Job 0-83,,23.0,
206,11.39,3.0,Created,Job 3-13,,,
207,11.39,3.0,Put in Routing Class,Job 3-13,,24.0,
208,11.62,7.0,Created,Job 7-59,,,
209,11.62,7.0,Put in Routing Class,Job 7-59,,25.0,
